"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","34","","","","","","Validate Credit Card - Owner Contains Card Number",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","35","","","","","","Validate Credit Card - CVV with special chars",""
"passed","Tue Jun 17 05:01:35 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","51","","","","","","Validate Credit Card - Missing CVV",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","35","","","","","","Validate Credit Card - Invalid All Fields",""
"passed","Tue Jun 17 05:01:35 GMT 2025","Tue Jun 17 05:01:35 GMT 2025","66","","","","","","Validate Credit Card - Valid MasterCard",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","39","","","","","","Validate Credit Card - Invalid Owner and CVV",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","33","","","","","","Validate Credit Card - Missing IssueDate",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","34","","","","","","Validate Credit Card - Invalid CVV and Date Format",""
"passed","Tue Jun 17 05:01:35 GMT 2025","Tue Jun 17 05:01:35 GMT 2025","48","","","","","","Validate Credit Card - Missing Owner",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","59","","","","","","Validate Credit Card - Invalid Card Number",""
"passed","Tue Jun 17 05:01:35 GMT 2025","Tue Jun 17 05:01:35 GMT 2025","49","","","","","","Validate Credit Card - Valid American Express",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","51","","","","","","Validate Credit Card - Invalid CVV length Visa",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","44","","","","","","Validate Credit Card - Card Number with spaces",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","37","","","","","","Validate Credit Card - Expired Card Past Date",""
"passed","Tue Jun 17 05:01:35 GMT 2025","Tue Jun 17 05:01:35 GMT 2025","36","","","","","","Validate Credit Card - Missing Number",""
"passed","Tue Jun 17 05:01:35 GMT 2025","Tue Jun 17 05:01:35 GMT 2025","323","","","","","","Validate Credit Card - Valid Visa Card",""
"passed","Tue Jun 17 05:01:36 GMT 2025","Tue Jun 17 05:01:36 GMT 2025","48","","","","","","Validate Credit Card - Owner Contains Number",""
